date,total_value,cash,positions_value,scenario,trades_today
2025-11-03,100000.0,0.0,100000.0,base,7
2025-11-04,99170.19,0.0,99170.19,base,0
2025-11-05,99500.77,0.0,99500.77,base,0
2025-11-06,98986.23,0.0,98986.23,base,0
2025-11-07,99071.93,0.0,99071.93,base,0
2025-11-10,100292.43,100.29,100192.14,base,8
2025-11-11,100683.18,100.29,100582.88,base,0
2025-11-12,100974.34,100.29,100874.05,base,0
2025-11-13,99963.24,100.29,99862.94,base,0
2025-11-14,99735.15,100.29,99634.85,base,0
2025-11-17,99031.64,0.0,99031.64,base,9
2025-11-18,98839.83,0.0,98839.83,base,0
2025-11-19,98876.68,0.0,98876.68,base,0
2025-11-20,98059.94,0.0,98059.94,base,0
2025-11-21,98815.83,0.0,98815.83,base,0
2025-11-24,99628.91,0.0,99628.91,base,9
2025-11-25,100335.08,0.0,100335.08,base,0
2025-11-26,100777.01,0.0,100777.01,base,0
2025-11-28,101141.91,0.0,101141.91,base,0
2025-12-01,100690.62,100.69,100589.93,base,10
2025-12-02,100597.36,100.69,100496.67,base,0
2025-12-03,100910.46,100.69,100809.77,base,0
2025-12-04,100802.42,100.69,100701.73,base,0
2025-12-05,100791.68,100.69,100690.99,base,0
2025-12-08,100401.69,0.0,100401.69,base,10
2025-12-09,100380.79,0.0,100380.79,base,0
2025-12-10,100942.41,0.0,100942.41,base,0
2025-12-11,101256.12,0.0,101256.12,base,0
2025-12-12,100832.65,0.0,100832.65,base,0
2025-12-15,100885.87,0.0,100885.87,base,6
2025-12-16,100427.49,0.0,100427.49,base,0
2025-12-17,100150.82,0.0,100150.82,base,0
2025-12-18,100315.21,0.0,100315.21,base,0
2025-12-19,100634.95,0.0,100634.95,base,0
2025-12-22,101040.3,0.0,101040.3,base,9
2025-12-23,101331.6,0.0,101331.6,base,0
2025-12-24,101552.85,0.0,101552.85,base,0
2025-12-26,101685.0,0.0,101685.0,base,0
2025-12-29,101104.89,0.0,101104.89,base,7
2025-12-30,101067.96,0.0,101067.96,base,0
2025-12-31,100553.53,0.0,100553.53,base,0
2026-01-02,100835.03,0.0,100835.03,base,0
2026-01-05,101502.11,0.0,101502.11,base,8
2026-01-06,102009.58,0.0,102009.58,base,0
2026-01-07,101750.11,0.0,101750.11,base,0
2026-01-08,102004.92,0.0,102004.92,base,0
2026-01-09,102415.2,0.0,102415.2,base,0
2026-01-12,102763.89,0.0,102763.89,base,7
2026-01-13,102752.93,0.0,102752.93,base,0
2026-01-14,102937.94,0.0,102937.94,base,0
2026-01-15,102896.38,0.0,102896.38,base,0
2026-01-16,102703.73,0.0,102703.73,base,0
2026-01-20,102289.05,0.0,102289.05,base,8
2026-01-21,103238.87,0.0,103238.87,base,0
2026-01-22,103663.85,0.0,103663.85,base,0
2026-01-23,103840.37,0.0,103840.37,base,0
2026-01-26,104248.33,0.0,104248.33,base,8
2026-01-27,104532.2,0.0,104532.2,base,0
2026-01-28,104798.18,0.0,104798.18,base,0
2026-01-29,104701.83,0.0,104701.83,base,0
2026-01-30,103715.99,0.0,103715.99,base,0
2026-02-02,103610.35,0.0,103610.35,base,8
2026-02-03,103931.83,0.0,103931.83,base,0
2026-02-04,104067.54,0.0,104067.54,base,0
2026-02-05,103213.89,0.0,103213.89,base,0
2026-02-06,104650.73,0.0,104650.73,base,0
2026-02-09,104924.93,0.0,104924.93,base,8
2026-02-10,104655.18,0.0,104655.18,base,0
2026-02-11,105115.18,0.0,105115.18,base,0
2026-02-12,104223.2,0.0,104223.2,base,0
2026-02-13,104652.5,0.0,104652.5,base,0
